created_at,entry_id,field1,field2,field3,field4
2023-07-26T00:00:00+0100,1,2023-07-26T00:00:00+0100,14.622822,76.573508,671.975968
2023-07-26T00:00:30+0100,2,2023-07-26T00:00:30+0100,13.213628,99.481996,483.054363
2023-07-26T00:01:00+0100,3,2023-07-26T00:01:00+0100,18.324366,89.778691,1015.772684
2023-07-26T00:01:30+0100,4,2023-07-26T00:01:30+0100,27.20455,54.56698,705.085757
2023-07-26T00:02:00+0100,5,2023-07-26T00:02:00+0100,13.264644,49.630687,687.661083
2023-07-26T00:02:30+0100,6,2023-07-26T00:02:30+0100,18.565715,23.64594,1050.947589
2023-07-26T00:03:00+0100,7,2023-07-26T00:03:00+0100,22.392789,67.753126,1011.514095
2023-07-26T00:03:30+0100,8,2023-07-26T00:03:30+0100,18.955413,90.100319,383.539664
2023-07-26T00:04:00+0100,9,2023-07-26T00:04:00+0100,31.118657,24.319808,729.337093
2023-07-26T00:04:30+0100,10,2023-07-26T00:04:30+0100,33.99002,20.998691,753.303656
2023-07-26T00:05:00+0100,11,2023-07-26T00:05:00+0100,14.13847,51.341199,1265.662628
2023-07-26T00:05:30+0100,12,2023-07-26T00:05:30+0100,21.602015,40.498611,444.629055
2023-07-26T00:06:00+0100,13,2023-07-26T00:06:00+0100,19.734534,67.743378,717.945242
2023-07-26T00:06:30+0100,14,2023-07-26T00:06:30+0100,14.716609,90.64471,1298.859907
2023-07-26T00:07:00+0100,15,2023-07-26T00:07:00+0100,31.679131,33.346802,825.72239
2023-07-26T00:07:30+0100,16,2023-07-26T00:07:30+0100,13.307991,49.981764,590.12941
2023-07-26T00:08:00+0100,17,2023-07-26T00:08:00+0100,23.413354,25.080639,481.375993
2023-07-26T00:08:30+0100,18,2023-07-26T00:08:30+0100,12.116125,17.178488,334.320481
2023-07-26T00:09:00+0100,19,2023-07-26T00:09:00+0100,19.949286,34.819917,1224.449638
2023-07-26T00:09:30+0100,20,2023-07-26T00:09:30+0100,19.871511,87.17259,757.838312
2023-07-26T00:10:00+0100,21,2023-07-26T00:10:00+0100,27.133608,92.897028,627.780944
2023-07-26T00:10:30+0100,22,2023-07-26T00:10:30+0100,29.008882,67.378882,568.175795
